Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO,ADANIPORTS_1d,ADANIPORTS_2d,ADANIPORTS_3d,ADANIPORTS_4d,ADANIPORTS_5d,ADANIPORTS_6d,ADANIPORTS_7d,ADANIPORTS_target
2021-07-05,710.05,3014.8,760.35,4201.5,6072.7,11923.1,459.7,523.95,3523.55,974.7,149.9,4559.95,5537.9,2701.05,1489.7,979.75,1495.45,677.9,2938.05,389.55,2499.05,2494.9,647.85,203.65,108.8,1020.55,1578.95,672.75,1731.1,1507.95,791.75,7599.45,118.6,17641.35,120.95,230.3,2150.2,1009.85,26987.6,432.65,680.2,3321.0,766.3,346.1,1156.85,1074.65,1749.9,807.6,6719.85,536.35,0.0037321315400325205,0.014153932821632376,0.002323780015491995,0.025984085627772758,0.011266812196324203,-0.008520526723470114,-0.01802689951411866,0
2021-07-06,712.7,3002.5,758.35,4195.4,6202.4,12090.8,458.05,526.1,3519.0,969.1,147.5,4524.2,5539.45,2711.15,1497.25,972.05,1534.7,680.05,2919.25,385.35,2472.5,2496.4,650.3,202.5,108.4,1031.05,1562.2,673.15,1755.35,1505.5,781.9,7514.95,117.65,17470.1,121.5,228.8,2124.8,1023.15,27769.1,429.75,673.25,3262.3,762.6,316.9,1167.25,1049.55,1762.8,803.3,6933.05,532.6,0.01038305037182542,-0.0014031149151115475,0.022169215658762387,0.007506664795846652,-0.012207099761470528,-0.021678125438473472,-0.01908236284551708,0
2021-07-07,720.1,3040.1,762.9,4188.25,6198.6,12374.15,460.5,529.6,3521.35,965.2,147.55,4552.55,5562.1,2710.85,1493.85,975.35,1539.5,685.2,2913.35,393.65,2481.65,2529.2,654.0,203.75,107.95,1044.9,1564.6,690.4,1761.8,1516.45,778.9,7449.4,117.45,17716.95,119.9,230.95,2110.05,1014.4,27547.0,432.85,680.1,3274.95,763.05,317.1,1218.65,1045.9,1727.25,816.9,6925.1,532.15,-0.011665046521316452,0.011665046521316452,-0.0028468268296070937,-0.02235800583252329,-0.03173170393000975,-0.029162616303291207,-0.04513262046937925,-1
2021-07-08,711.7,3028.3,754.4,4077.3,6117.8,12333.9,458.2,525.3,3491.4,950.65,146.25,4510.5,5466.75,2729.3,1475.45,976.8,1520.45,681.3,2900.4,383.1,2447.55,2512.05,641.9,202.0,107.55,1045.45,1560.75,668.25,1732.3,1500.7,776.25,7401.2,117.45,17618.9,117.05,231.15,2092.6,1021.6,27581.8,424.45,666.9,3258.5,763.3,306.35,1189.75,1060.15,1726.35,814.1,6901.9,531.0,0.023605451735281655,0.008922298721371236,-0.010819165378670852,-0.02030349866516797,-0.01770408880146132,-0.033862582548826785,-0.05339328368694674,-1
2021-07-09,728.5,3010.6,747.35,3995.9,6136.15,12854.75,456.9,536.25,3475.95,959.8,146.7,4599.7,5460.3,2712.15,1500.15,976.85,1502.0,683.25,2896.8,390.05,2451.45,2496.45,638.55,201.35,107.3,1039.95,1562.9,681.55,1720.05,1499.6,771.55,7425.7,117.8,17636.0,117.9,230.25,2071.2,1019.6,27502.75,423.75,667.9,3208.15,765.95,306.3,1239.35,1051.75,1720.6,814.55,6899.55,525.8,-0.014344543582704249,-0.033630748112560054,-0.04289636238846946,-0.040356897735072034,-0.05614275909402879,-0.07522306108441998,-0.07673301304049414,-1
2021-07-12,718.05,2999.4,753.6,3956.15,6149.55,12908.9,451.0,529.65,3470.4,959.85,146.4,4588.75,5494.3,2709.5,1536.15,979.45,1487.0,682.95,2898.2,388.35,2444.15,2476.95,646.25,201.1,107.2,1049.3,1547.85,694.45,1731.95,1500.75,772.85,7470.1,117.85,17641.4,118.55,229.0,2084.1,1033.45,28034.95,427.45,668.55,3193.1,775.9,307.45,1226.95,1056.6,1719.85,821.45,7093.75,525.85,-0.019566882529071728,-0.028967342107095544,-0.026390919852377875,-0.04240651765197401,-0.061764501079311904,-0.06329642782536025,-0.03655734280342595,-1
2021-07-13,704.0,2993.85,770.75,3966.1,6154.3,12909.4,450.25,530.05,3485.5,965.65,148.1,4606.05,5437.1,2706.7,1576.65,967.95,1501.85,693.4,2904.1,392.25,2436.7,2544.9,664.95,201.85,107.8,1055.9,1544.95,701.4,1747.15,1513.6,781.15,7430.35,119.9,17691.9,120.4,228.65,2099.7,1052.65,28070.4,429.1,683.0,3187.55,772.85,310.95,1228.75,1050.15,1724.25,831.95,7128.85,524.85,-0.009588068181818182,-0.00696022727272724,-0.02329545454545451,-0.04303977272727266,-0.04460227272727269,-0.017329545454545518,-0.034019886363636426,-1
2021-07-14,697.25,3001.95,770.05,3953.85,6133.9,12991.2,448.7,530.05,3485.75,977.15,148.15,4623.2,5390.85,2700.0,1567.8,989.45,1499.15,688.5,2900.7,391.65,2414.85,2531.1,664.35,204.1,107.1,1052.6,1576.9,700.4,1748.15,1544.7,786.15,7326.75,120.75,17539.7,120.8,229.95,2086.0,1052.4,28414.7,431.05,685.95,3214.55,768.2,309.55,1244.7,1078.5,1710.35,819.75,7118.05,561.7,0.0026532807457870533,-0.01384008605234848,-0.033775546790964436,-0.03535317318035135,-0.007816421656507774,-0.02466833990677669,-0.020724273933309494,-1
2021-07-15,699.1,2983.6,774.15,3940.0,6129.7,12958.95,447.05,525.45,3460.85,973.6,146.7,4607.3,5393.65,2667.5,1557.25,1039.75,1520.7,693.65,2884.65,401.45,2412.35,2540.1,667.45,206.25,106.3,1055.1,1580.8,699.1,1750.05,1609.35,779.9,7307.0,120.3,17621.85,116.9,230.4,2082.35,1052.95,28427.45,431.7,683.0,3202.95,772.35,310.25,1255.95,1112.45,1701.55,836.25,7189.65,575.9,-0.016449721069947073,-0.03633242740666568,-0.03790587898726935,-0.010441996853096935,-0.02724932055499938,-0.0233156916034903,-0.05135173794879127,-1
2021-07-16,687.6,2989.3,771.15,3931.95,6125.45,12745.7,448.0,541.15,3441.0,977.15,145.55,4757.6,5406.55,2617.25,1572.3,1005.0,1522.35,698.0,2904.7,405.5,2417.4,2536.9,660.3,207.9,106.1,1044.3,1555.45,703.6,1749.5,1618.75,779.8,7303.55,119.1,17654.2,116.8,233.85,2112.4,1050.25,28096.15,430.0,688.6,3194.8,763.0,311.25,1278.45,1103.15,1695.35,837.55,7334.55,577.75,-0.020215241419429868,-0.02181500872600349,0.006108202443280878,-0.010980221058755188,-0.006980802792321216,-0.03548574752763231,-0.03228621291448523,-1
